495,WYN,Wyndham Worldwide
496,WYNN,Wynn Resorts Ltd
497,XEL,Xcel Energy Inc
498,XRX,Xerox Corp.
499,XLNX,Xilinx Inc
500,XL,XL Capital
501,XYL,Xylem Inc.
502,YUM,Yum! Brands Inc
503,ZBH,Zimmer Biomet Holdings
504,ZION,Zions Bancorp
505,ZTS,Zoetis
